"Date","GOLDX"
"1978-12-29",100000000000000
"1979-01-02",100353982300884.95
"1979-01-03",96725663716814.16
"1979-01-04",98761061946902.64
"1979-01-05",99778761061946.9
"1979-01-08",98716814159292.05
"1979-01-09",99115044247787.6
"1979-01-10",97654867256637.19
"1979-01-11",97654867256637.19
"1979-01-12",96283185840707.95
"1979-01-15",95973451327433.64
"1979-01-16",97654867256637.19
"1979-01-17",100575221238938.06
"1979-01-18",102566371681415.92
"1979-01-19",102035398230088.48
"1979-01-22",103982300884955.77
"1979-01-23",101769911504424.77
"1979-01-24",104469026548672.55
"1979-01-25",103495575221238.92
"1979-01-26",104203539823008.81
"1979-01-29",104070796460176.95
"1979-01-30",103318584070796.45
"1979-01-31",103407079646017.69
"1979-02-01",101504424778761.06
"1979-02-02",101902654867256.64
"1979-02-05",107566371681415.92
"1979-02-06",108185840707964.6
"1979-02-07",111327433628318.56
"1979-02-08",110840707964601.77
"1979-02-09",109203539823008.81
"1979-02-12",108097345132743.34
"1979-02-13",106460176991150.42
"1979-02-14",106504424778761.05
"1979-02-15",109646017699115.05
"1979-02-16",109336283185840.69
"1979-02-20",109292035398230.08
"1979-02-21",110973451327433.6
"1979-02-22",111681415929203.52
"1979-02-23",111061946902654.84
"1979-02-26",109999999999999.95
"1979-02-27",109690265486725.62
"1979-02-28",111194690265486.69
"1979-03-01",110088495575221.19
"1979-03-02",109734513274336.22
"1979-03-05",105398230088495.52
"1979-03-06",106106194690265.44
"1979-03-07",107212389380530.9
"1979-03-08",105840707964601.69
"1979-03-09",106637168141592.84
"1979-03-12",106194690265486.66
"1979-03-13",105796460176991.08
"1979-03-14",105973451327433.55
"1979-03-15",106238938053097.27
"1979-03-16",107964601769911.44
"1979-03-19",107212389380530.92
"1979-03-20",107123893805309.69
"1979-03-21",106150442477876.05
"1979-03-22",107477876106194.62
"1979-03-23",107300884955752.14
"1979-03-26",108539823008849.48
"1979-03-27",108141592920353.9
"1979-03-28",108141592920353.9
"1979-03-29",106858407079645.94
"1979-03-30",106238938053097.27
"1979-04-02",106061946902654.78
"1979-04-03",106194690265486.64
"1979-04-04",106106194690265.4
"1979-04-05",106504424778760.95
"1979-04-06",106106194690265.4
"1979-04-09",106283185840707.88
"1979-04-10",106106194690265.4
"1979-04-11",105486725663716.73
"1979-04-12",103539823008849.45
"1979-04-16",103539823008849.45
"1979-04-17",102610619469026.45
"1979-04-18",103185840707964.52
"1979-04-19",106592920353982.23
"1979-04-20",104601769911504.36
"1979-04-23",104823008849557.45
"1979-04-24",106061946902654.78
"1979-04-25",106991150442477.8
"1979-04-26",107168141592920.28
"1979-04-27",107831858407079.58
"1979-04-30",108539823008849.5
"1979-05-01",109424778761061.9
"1979-05-02",108982300884955.72
"1979-05-03",109070796460176.94
"1979-05-04",109955752212389.31
"1979-05-07",109955752212389.31
"1979-05-08",110176991150442.42
"1979-05-09",109734513274336.22
"1979-05-10",111637168141592.86
"1979-05-11",111283185840707.9
"1979-05-14",111061946902654.81
"1979-05-15",113053097345132.69
"1979-05-16",113495575221238.9
"1979-05-17",113628318584070.77
"1979-05-18",113451327433628.23
"1979-05-21",115929203539822.95
"1979-05-22",117433628318584
"1979-05-23",116902654867256.56
"1979-05-24",116725663716814.1
"1979-05-25",119734513274336.23
"1979-05-29",121150442477876.05
"1979-05-30",119601769911504.36
"1979-05-31",121504424778761
"1979-06-01",121725663716814.1
"1979-06-04",120752212389380.45
"1979-06-05",121592920353982.23
"1979-06-06",123893805309734.44
"1979-06-07",122168141592920.28
"1979-06-08",123893805309734.44
"1979-06-11",124955752212389.3
"1979-06-12",122920353982300.81
"1979-06-13",122389380530973.4
"1979-06-14",123451327433628.23
"1979-06-15",123893805309734.42
"1979-06-18",123008849557522.05
"1979-06-19",124026548672566.28
"1979-06-20",124513274336283.08
"1979-06-21",124911504424778.66
"1979-06-22",125442477876106.1
"1979-06-25",125619469026548.55
"1979-06-26",124557522123893.69
"1979-06-27",124690265486725.55
"1979-06-28",122079646017698.95
"1979-06-29",122787610619468.88
"1979-07-02",124999999999999.84
"1979-07-03",124513274336283.02
"1979-07-05",127566371681415.77
"1979-07-06",128451327433628.16
"1979-07-09",127389380530973.28
"1979-07-10",128539823008849.4
"1979-07-11",128451327433628.16
"1979-07-12",128672566371681.23
"1979-07-13",127212389380530.81
"1979-07-16",129557522123893.64
"1979-07-17",131106194690265.31
"1979-07-18",133716814159291.86
"1979-07-19",132389380530973.27
"1979-07-20",132212389380530.8
"1979-07-23",134911504424778.56
"1979-07-24",135088495575221.06
"1979-07-25",134247787610619.27
"1979-07-26",135044247787610.42
"1979-07-27",135309734513274.14
"1979-07-30",133362831858406.88
"1979-07-31",131194690265486.55
"1979-08-01",128362831858406.92
"1979-08-02",128982300884955.58
"1979-08-03",126769911504424.6
"1979-08-06",125088495575221.06
"1979-08-07",126150442477875.94
"1979-08-08",127876106194690.08
"1979-08-09",131460176991150.27
"1979-08-10",134424778761061.77
"1979-08-13",132212389380530.8
"1979-08-14",129203539823008.69
"1979-08-15",133584070796460
"1979-08-16",131814159292035.22
"1979-08-17",133008849557521.98
"1979-08-20",132212389380530.81
"1979-08-21",132964601769911.38
"1979-08-22",137610619469026.4
"1979-08-23",137212389380530.84
"1979-08-24",139292035398229.95
"1979-08-27",139292035398229.95
"1979-08-28",140176991150442.34
"1979-08-29",139469026548672.42
"1979-08-30",141238938053097.22
"1979-08-31",139424778761061.81
"1979-09-04",143805309734513.16
"1979-09-05",145575221238937.94
"1979-09-06",148451327433628.22
"1979-09-07",145663716814159.2
"1979-09-10",148805309734513.16
"1979-09-11",150221238938052.97
"1979-09-12",149159292035398.1
"1979-09-13",147345132743362.7
"1979-09-14",153008849557521.97
"1979-09-17",155663716814159.12
"1979-09-18",166283185840707.78
"1979-09-19",163274336283185.66
"1979-09-20",168141592920353.8
"1979-09-21",163274336283185.7
"1979-09-24",168318584070796.28
"1979-09-25",166681415929203.38
"1979-09-26",165398230088495.4
"1979-09-27",174999999999999.8
"1979-09-28",175796460176990.97
"1979-10-01",183539823008849.38
"1979-10-02",188495575221238.75
"1979-10-03",177876106194690.1
"1979-10-04",169911504424778.6
"1979-10-05",170353982300884.8
"1979-10-08",164601769911504.28
"1979-10-09",170707964601769.75
"1979-10-10",182743362831858.2
"1979-10-11",177654867256637
"1979-10-12",174778761061946.75
"1979-10-15",178274336283185.7
"1979-10-16",174469026548672.44
"1979-10-17",170796460176991.03
"1979-10-18",168362831858406.97
"1979-10-19",173893805309734.4
"1979-10-22",173451327433628.22
"1979-10-23",170353982300884.84
"1979-10-24",174778761061946.78
"1979-10-25",173362831858406.97
"1979-10-26",165929203539822.9
"1979-10-29",165486725663716.72
"1979-10-30",167079646017699.03
"1979-10-31",169026548672566.28
"1979-11-01",167477876106194.6
"1979-11-02",164955752212389.3
"1979-11-05",168584070796460.1
"1979-11-06",170044247787610.56
"1979-11-07",174778761061946.8
"1979-11-08",172345132743362.75
"1979-11-09",172345132743362.75
"1979-11-12",174026548672566.28
"1979-11-13",171327433628318.47
"1979-11-14",172566371681415.8
"1979-11-15",170796460176991.03
"1979-11-16",172743362831858.25
"1979-11-19",172522123893805.16
"1979-11-20",171592920353982.16
"1979-11-21",175309734513274.16
"1979-11-23",173451327433628.16
"1979-11-26",174911504424778.62
"1979-11-27",174247787610619.34
"1979-11-28",181946902654867.12
"1979-11-29",182168141592920.2
"1979-11-30",183938053097345
"1979-12-03",189734513274336.2
"1979-12-04",190796460176991.03
"1979-12-05",188672566371681.3
"1979-12-06",191946902654867.16
"1979-12-07",190442477876106.1
"1979-12-10",190796460176991.03
"1979-12-11",197123893805309.62
"1979-12-12",197477876106194.6
"1979-12-13",203008849557522.03
"1979-12-14",202123893805309.62
"1979-12-17",207743362831858.3
"1979-12-18",211415929203539.75
"1979-12-19",216150442477876.03
"1979-12-20",208628318584070.72
"1979-12-21",209336283185840.62
"1979-12-24",209336283185840.62
"1979-12-26",209336283185840.62
"1979-12-27",209336283185840.62
"1979-12-28",226548672566371.62
"1979-12-31",226548672566371.62
"1980-01-02",247566371681415.88
"1980-01-03",280530973451327.38
"1980-01-04",260176991150442.4
"1980-01-07",280309734513274.25
"1980-01-08",269911504424778.7
"1980-01-09",268672566371681.38
"1980-01-10",266769911504424.7
"1980-01-11",275663716814159.2
"1980-01-14",292035398230088.4
"1980-01-15",302654867256637.06
"1980-01-16",336283185840707.9
"1980-01-17",331858407079645.94
"1980-01-18",369469026548672.4
"1980-01-21",376106194690265.4
"1980-01-22",326327433628318.5
"1980-01-23",307522123893805.25
"1980-01-24",317256637168141.56
"1980-01-25",295575221238938
"1980-01-28",276106194690265.44
"1980-01-29",298362831858407
"1980-01-30",305752212389380.44
"1980-01-31",288938053097345.06
"1980-02-01",299336283185840.6
"1980-02-04",296371681415929.06
"1980-02-05",301769911504424.7
"1980-02-06",313716814159291.94
"1980-02-07",309424778761061.8
"1980-02-08",306194690265486.6
"1980-02-11",314380530973451.25
"1980-02-12",307300884955752.1
"1980-02-13",308318584070796.4
"1980-02-14",301769911504424.7
"1980-02-15",295132743362831.75
"1980-02-19",288628318584070.7
"1980-02-20",268141592920353.9
"1980-02-21",294247787610619.4
"1980-02-22",278761061946902.56
"1980-02-25",272787610619468.9
"1980-02-26",284203539823008.7
"1980-02-27",281415929203539.7
"1980-02-28",285840707964601.7
"1980-02-29",281858407079645.94
"1980-03-03",280442477876106.1
"1980-03-04",279336283185840.6
"1980-03-05",284734513274336.2
"1980-03-06",276991150442477.8
"1980-03-07",269469026548672.47
"1980-03-10",258849557522123.8
"1980-03-11",252345132743362.72
"1980-03-12",259159292035398.12
"1980-03-13",246238938053097.25
"1980-03-14",231415929203539.72
"1980-03-17",214159292035398.12
"1980-03-18",213053097345132.62
"1980-03-19",233185840707964.47
"1980-03-20",248230088495575.1
"1980-03-21",232300884955752.1
"1980-03-24",247035398230088.38
"1980-03-25",242168141592920.2
"1980-03-26",224557522123893.72
"1980-03-27",214734513274336.2
"1980-03-28",216814159292035.38
"1980-03-31",218805309734513.2
"1980-04-01",225442477876106.12
"1980-04-02",221460176991150.38
"1980-04-03",214955752212389.3
"1980-04-07",214955752212389.3
"1980-04-08",233628318584070.72
"1980-04-09",245132743362831.8
"1980-04-10",232743362831858.3
"1980-04-11",234734513274336.2
"1980-04-14",234424778761061.8
"1980-04-15",220132743362831.75
"1980-04-16",230088495575221.16
"1980-04-17",226991150442477.8
"1980-04-18",228141592920353.9
"1980-04-21",223893805309734.44
"1980-04-22",222300884955752.12
"1980-04-23",224115044247787.53
"1980-04-24",228185840707964.53
"1980-04-25",244026548672566.28
"1980-04-28",231991150442477.8
"1980-04-29",227345132743362.75
"1980-04-30",229203539823008.8
"1980-05-01",216814159292035.38
"1980-05-02",226769911504424.72
"1980-05-05",226769911504424.72
"1980-05-06",226769911504424.72
"1980-05-07",225663716814159.2
"1980-05-08",228230088495575.12
"1980-05-09",224911504424778.7
"1980-05-12",227123893805309.62
"1980-05-13",226548672566371.6
"1980-05-14",232300884955752.12
"1980-05-15",228761061946902.56
"1980-05-16",228539823008849.47
"1980-05-19",227345132743362.72
"1980-05-20",224690265486725.6
"1980-05-21",227212389380530.9
"1980-05-22",221681415929203.47
"1980-05-23",226238938053097.28
"1980-05-27",227787610619468.9
"1980-05-28",232964601769911.4
"1980-05-29",229911504424778.7
"1980-05-30",236946902654867.16
"1980-06-02",248451327433628.2
"1980-06-03",244469026548672.47
"1980-06-04",252876106194690.2
"1980-06-05",257433628318583.9
"1980-06-06",264159292035398.1
"1980-06-09",276017699115044.1
"1980-06-10",267256637168141.44
"1980-06-11",263716814159291.9
"1980-06-12",261061946902654.72
"1980-06-13",269203539823008.7
"1980-06-16",263274336283185.7
"1980-06-17",261858407079645.84
"1980-06-18",266592920353982.16
"1980-06-19",265044247787610.47
"1980-06-20",266769911504424.62
"1980-06-23",263938053097345
"1980-06-24",266814159292035.25
"1980-06-25",275442477876106.03
"1980-06-26",276327433628318.4
"1980-06-27",282079646017698.94
"1980-06-30",289159292035398.06
"1980-07-01",292035398230088.3
"1980-07-02",292699115044247.56
"1980-07-03",293584070796459.94
"1980-07-07",295353982300884.7
"1980-07-08",304203539823008.6
"1980-07-09",296902654867256.44
"1980-07-10",290486725663716.6
"1980-07-11",295132743362831.6
"1980-07-14",287610619469026.3
"1980-07-15",274115044247787.38
"1980-07-16",276460176991150.16
"1980-07-17",277566371681415.62
"1980-07-18",268141592920353.72
"1980-07-21",273230088495574.97
"1980-07-22",271238938053097.1
"1980-07-23",279336283185840.44
"1980-07-24",284513274336282.9
"1980-07-25",288407079646017.4
"1980-07-28",284734513274335.94
"1980-07-29",286194690265486.4
"1980-07-30",278318584070796.12
"1980-07-31",271814159292035.03
"1980-08-01",275221238938052.72
"1980-08-04",279115044247787.2
"1980-08-05",278982300884955.38
"1980-08-06",277787610619468.62
"1980-08-07",278539823008849.2
"1980-08-08",278761061946902.3
"1980-08-11",273008849557521.8
"1980-08-12",267699115044247.44
"1980-08-13",272256637168141.25
"1980-08-14",276991150442477.53
"1980-08-15",276327433628318.25
"1980-08-18",270929203539822.62
"1980-08-19",276106194690265.12
"1980-08-20",280884955752212
"1980-08-21",285530973451327.06
"1980-08-22",282831858407079.3
"1980-08-25",282831858407079.3
"1980-08-26",278274336283185.53
"1980-08-27",280486725663716.47
"1980-08-28",281106194690265.1
"1980-08-29",279336283185840.3
"1980-09-02",283185840707964.25
"1980-09-03",281769911504424.4
"1980-09-04",286415929203539.44
"1980-09-05",288053097345132.4
"1980-09-08",297345132743362.44
"1980-09-09",296681415929203.1
"1980-09-10",303761061946902.25
"1980-09-11",298230088495574.8
"1980-09-12",303318584070796
"1980-09-15",294911504424778.3
"1980-09-16",295575221238937.6
"1980-09-17",297787610619468.56
"1980-09-18",297345132743362.4
"1980-09-19",298230088495574.75
"1980-09-22",314159292035397.75
"1980-09-23",314601769911503.94
"1980-09-24",314380530973450.8
"1980-09-25",308761061946902.1
"1980-09-26",309203539823008.3
"1980-09-29",300575221238937.5
"1980-09-30",295044247787610.06
"1980-10-01",301769911504424.2
"1980-10-02",294601769911503.8
"1980-10-03",292256637168141
"1980-10-06",298893805309733.9
"1980-10-07",300088495575220.6
"1980-10-08",299557522123893.2
"1980-10-09",305309734513273.7
"1980-10-10",303230088495574.56
"1980-10-13",300796460176990.5
"1980-10-14",295796460176990.5
"1980-10-15",299999999999999.3
"1980-10-16",298230088495574.56
"1980-10-17",296681415929202.9
"1980-10-20",290707964601769.25
"1980-10-21",288716814159291.4
"1980-10-22",292035398230087.9
"1980-10-23",280752212389379.9
"1980-10-24",280088495575220.62
"1980-10-27",281991150442477.2
"1980-10-28",279557522123893.12
"1980-10-29",284955752212388.7
"1980-10-30",284292035398229.44
"1980-10-31",278318584070795.8
"1980-11-03",283407079646017.06
"1980-11-05",288495575221238.3
"1980-11-06",279646017699114.44
"1980-11-07",263716814159291.47
"1980-11-10",271017699115043.7
"1980-11-11",264823008849556.97
"1980-11-12",274115044247787.1
"1980-11-13",275221238938052.56
"1980-11-14",271017699115043.72
"1980-11-17",270707964601769.38
"1980-11-18",273893805309734
"1980-11-19",278672566371680.84
"1980-11-20",278982300884955.2
"1980-11-21",280884955752211.8
"1980-11-24",279203539823008.28
"1980-11-25",272699115044247.2
"1980-11-26",275663716814158.72
"1980-11-28",274247787610618.88
"1980-12-01",280973451327433.03
"1980-12-02",277433628318583.47
"1980-12-03",277566371681415.28
"1980-12-04",279424778761061.38
"1980-12-05",273008849557521.53
"1980-12-08",273141592920353.38
"1980-12-09",267256637168141.03
"1980-12-10",256194690265486.2
"1980-12-11",246902654867256.12
"1980-12-12",249026548672565.84
"1980-12-15",256194690265486.2
"1980-12-16",248230088495574.7
"1980-12-17",254646017699114.47
"1980-12-18",253761061946902.1
"1980-12-19",254424778761061.38
"1980-12-22",263185840707963.9
"1980-12-23",266592920353981.7
"1980-12-24",266592920353981.7
"1980-12-26",266592920353981.7
"1980-12-29",262743362831857.8
"1980-12-30",260973451327433
"1980-12-31",260973451327433
"1981-01-02",260973451327433
"1981-01-05",264380530973450.72
"1981-01-06",265176991150441.84
"1981-01-07",258849557522123.3
"1981-01-08",254336283185840.12
"1981-01-09",255663716814158.7
"1981-01-12",248672566371680.84
"1981-01-13",249026548672565.75
"1981-01-14",246238938053096.75
"1981-01-15",252876106194689.62
"1981-01-16",248141592920353.38
"1981-01-19",250796460176990.56
"1981-01-20",248672566371680.88
"1981-01-21",255752212389379.9
"1981-01-22",249557522123893.2
"1981-01-23",244690265486725.1
"1981-01-26",233849557522123.38
"1981-01-27",231858407079645.47
"1981-01-28",231637168141592.38
"1981-01-29",218495575221238.4
"1981-01-30",224115044247787.03
"1981-02-02",218362831858406.47
"1981-02-03",215176991150441.9
"1981-02-04",223451327433627.7
"1981-02-05",220575221238937.44
"1981-02-06",221460176991149.8
"1981-02-09",226769911504424.16
"1981-02-10",229867256637167.53
"1981-02-11",221681415929202.9
"1981-02-12",216946902654866.62
"1981-02-13",217477876106194.1
"1981-02-17",221592920353981.7
"1981-02-18",223451327433627.7
"1981-02-19",222699115044247.16
"1981-02-20",226327433628317.97
"1981-02-23",221902654867256.03
"1981-02-24",222566371681415.38
