"Date","SPYTR"
"1885-03-20",100000000000000
"1885-03-23",99216647200000
"1885-03-24",98144348600000
"1885-03-25",98991546200000.02
"1885-03-26",99818104900000.02
"1885-03-27",99880990900000.02
"1885-03-30",98602311800000.02
"1885-03-31",98974793800000.05
"1885-04-01",99099603100000.05
"1885-04-02",99306962400000.05
"1885-04-06",99142818100000.05
"1885-04-07",97884809400000.05
"1885-04-08",98257284500000.05
"1885-04-09",100714290900000.05
"1885-04-10",99683313100000.05
"1885-04-13",101314744600000.05
"1885-04-14",101769753300000.05
"1885-04-15",103607547300000.05
"1885-04-16",102679770200000.05
"1885-04-17",102020297000000.05
"1885-04-20",102041899100000.05
"1885-04-21",101815841700000.05
"1885-04-22",102126371100000.05
"1885-04-23",102292433600000.05
"1885-04-24",101839357600000.05
"1885-04-27",101964152800000.02
"1885-04-28",102212767500000.02
"1885-04-29",102378827200000.05
"1885-04-30",102709993500000.05
"1885-05-01",102050546300000.05
"1885-05-04",99306710500000.05
"1885-05-05",98833019800000.05
"1885-05-06",99886497200000.05
"1885-05-07",98876230700000.05
"1885-05-08",100239258200000.05
"1885-05-11",99848116800000.05
"1885-05-12",99415703100000.05
"1885-05-13",99437309700000.05
"1885-05-14",99458916200000.05
"1885-05-15",100182180800000.05
"1885-05-18",100926079300000.05
"1885-05-19",100968319600000.05
"1885-05-20",100474003700000.05
"1885-05-21",101073429000000.05
"1885-05-22",101858577500000.06
"1885-05-25",100930896200000.06
"1885-05-26",101365226300000.06
"1885-05-27",100850281000000.06
"1885-05-28",100521063500000.06
"1885-05-29",99799762700000.05
"1885-06-01",99346737100000.05
"1885-06-02",99946148100000.05
"1885-06-03",100586832500000.05
"1885-06-04",99968720300000.05
"1885-06-05",99206166400000.05
"1885-06-08",99062681600000.06
"1885-06-09",99393819400000.08
"1885-06-10",99663050600000.06
"1885-06-11",100571981100000.06
"1885-06-12",101088826800000.05
"1885-06-15",101997738700000.05
"1885-06-16",101668537500000.05
"1885-06-17",101690133600000.06
"1885-06-18",102310143200000.06
"1885-06-19",103061287300000.05
"1885-06-22",102580715800000.06
"1885-06-23",102393045800000.05
"1885-06-24",103523447300000.05
"1885-06-25",102917347000000.05
"1885-06-26",102227561200000.05
"1885-06-29",100575399600000.05
"1885-06-30",100366819800000.05
"1885-07-01",99739817200000.05
"1885-07-02",99008212700000.05
"1885-07-03",100117682300000.05
"1885-07-06",100139240700000.06
"1885-07-07",99805142200000.06
"1885-07-08",101500379800000.08
"1885-07-09",101731144700000.08
"1885-07-10",101752696700000.08
"1885-07-13",105184327700000.08
"1885-07-14",105645202300000.08
"1885-07-15",107173018100000.08
"1885-07-16",106629692600000.08
"1885-07-17",108052897100000.08
"1885-07-20",107781544400000.1
"1885-07-21",107844917600000.08
"1885-07-22",109540064700000.08
"1885-07-23",111172435200000.08
"1885-07-24",109750473700000.08
"1885-07-27",108579554800000.1
"1885-07-28",108831194000000.1
"1885-07-29",109961464700000.08
"1885-07-30",109836546700000.1
"1885-07-31",110171865700000.08
"1885-08-03",109335692000000.08
"1885-08-04",109671001200000.08
"1885-08-05",109441489700000.1
"1885-08-06",109985997900000.1
"1885-08-07",110948884800000.1
"1885-08-10",111409704200000.1
"1885-08-11",111222024400000.1
"1885-08-12",112603278000000.1
"1885-08-13",111871704200000.1
"1885-08-14",113211102600000.1
"1885-08-17",116746955000000.12
"1885-08-18",114216368400000.1
"1885-08-19",115890441300000.1
"1885-08-20",114949690100000.1
"1885-08-21",115117614900000.12
"1885-08-24",114427894800000.1
"1885-08-25",113382565400000.1
"1885-08-26",113843355400000.1
"1885-08-27",115287296300000.1
"1885-08-28",114534820800000.1
"1885-08-31",112882879600000.1
"1885-09-01",112151340400000.1
"1885-09-02",112988647600000.1
"1885-09-03",112529043700000.12
"1885-09-04",112194950000000.1
"1885-09-07",108765060200000.1
"1885-09-08",109644200500000.1
"1885-09-09",110125906900000.08
"1885-09-10",109122476500000.08
"1885-09-11",109478675600000.08
"1885-09-14",111215404800000.08
"1885-09-15",110755817800000.06
"1885-09-16",111844098000000.06
"1885-09-17",111489107600000.06
"1885-09-18",112417849900000.08
"1885-09-21",111974243100000.05
"1885-09-22",112166246500000.05
"1885-09-23",112273506500000.06
"1885-09-24",111702787900000.05
"1885-09-25",111195636200000.05
"1885-09-28",112976636800000.06
"1885-09-29",112787275000000.06
"1885-09-30",113593674100000.05
"1885-10-01",113383129800000.05
"1885-10-02",112388694200000.05
"1885-10-05",115695049600000.06
"1885-10-06",115887037000000.05
"1885-10-07",118112873600000.05
"1885-10-08",118198919700000.05
"1885-10-09",118623933900000.05
"1885-10-12",120065861600000.05
"1885-10-13",120829838500000.05
"1885-10-14",121339577400000.06
"1885-10-15",120175660400000.06
"1885-10-16",121977713600000.06
"1885-10-19",124902577200000.06
"1885-10-20",126323268000000.06
"1885-10-21",126366909300000.06
"1885-10-22",124059002100000.06
"1885-10-23",124780572800000.05
"1885-10-26",123341276200000.05
"1885-10-27",124931417400000.05
"1885-10-28",125780080700000.05
"1885-10-29",125061067100000.05
"1885-10-30",126651190500000.05
"1885-11-02",128029446600000.05
"1885-11-04",127077408100000.05
"1885-11-05",128836983500000.05
"1885-11-06",127715476300000.05
"1885-11-09",128373445600000.02
"1885-11-10",129455099800000.05
"1885-11-11",131426474200000.05
"1885-11-12",131321802300000.02
"1885-11-13",132382244300000.05
"1885-11-16",132086924400000.05
"1885-11-17",133761688800000.05
"1885-11-18",134186602500000.05
"1885-11-19",135649506300000.02
"1885-11-20",134549191200000.02
"1885-11-23",130800950400000.02
"1885-11-24",134509287900000.05
"1885-11-25",133875031200000.02
"1885-11-27",131885053300000.02
"1885-11-30",131801568300000.05
"1885-12-01",130658936900000.02
"1885-12-02",131083845400000.05
"1885-12-03",131275739200000.05
"1885-12-04",131827742000000.05
"1885-12-07",131405331700000.05
"1885-12-08",131787871500000.05
"1885-12-09",131471375100000.05
"1885-12-10",129545014900000.05
"1885-12-11",129736907400000.05
"1885-12-14",126560807900000.05
"1885-12-15",128913308500000.05
"1885-12-16",131096329900000.02
"1885-12-17",130102020700000.02
"1885-12-18",130888471600000
"1885-12-21",129067574300000.02
"1885-12-22",126796920300000.05
"1885-12-23",127117902300000.02
"1885-12-24",128616878100000.02
"1885-12-28",130030177600000.02
"1885-12-29",132150257000000.02
"1885-12-30",132257025500000.05
"1885-12-31",132021113300000.02
"1886-01-04",132149301200000.02
"1886-01-05",130971010000000.02
"1886-01-06",131313379500000
"1886-01-07",131056051300000
"1886-01-08",130263284500000
"1886-01-11",129727539600000.02
"1886-01-12",129448808899999.98
"1886-01-13",127692282199999.98
"1886-01-14",128612924900000
"1886-01-15",126128229900000
"1886-01-18",124007644400000
"1886-01-19",125228125699999.98
"1886-01-20",124906585399999.98
"1886-01-21",126062798499999.98
"1886-01-22",125205836100000
"1886-01-25",123213792500000
"1886-01-26",124412838700000
"1886-01-27",124455384100000.02
"1886-01-28",125226082300000.02
