"Date","TBILL"
"1885-03-20",100000000000000
"1885-03-23",100009864311315.94
"1885-03-24",100019727035261.84
"1885-03-25",100029588171176.16
"1885-03-26",100039447718397.31
"1885-03-27",100049305676263.9
"1885-03-30",100059156921262.1
"1885-03-31",100069006574574
"1885-04-01",100078854635538.48
"1885-04-02",100088702341882.84
"1885-04-06",100098545721537.77
"1885-04-07",100108388745200.38
"1885-04-08",100118231412575.3
"1885-04-09",100128073723367.08
"1885-04-10",100137915677280.28
"1885-04-13",100147754624868.23
"1885-04-14",100157593214466.12
"1885-04-15",100167431445778.44
"1885-04-16",100177269318509.73
"1885-04-17",100187106832364.52
"1885-04-20",100196941336594.72
"1885-04-21",100206775480837.02
"1885-04-22",100216609264795.92
"1885-04-23",100226442688175.9
"1885-04-24",100236275750681.44
"1885-04-27",100246105800263.69
"1885-04-28",100255935487860.2
"1885-04-29",100265764813175.5
"1885-04-30",100275593775914.02
"1885-05-01",100285422375780.16
"1885-05-04",100295248087798.38
"1885-05-05",100305073478653.69
"1885-05-06",100314898548063.05
"1885-05-07",100324723295743.44
"1885-05-08",100334547721411.8
"1885-05-11",100344369256056.27
"1885-05-12",100354190467619.66
"1885-05-13",100364011355818.9
"1885-05-14",100373831920370.92
"1885-05-15",100383652160992.62
"1885-05-18",100393469507414.92
"1885-05-19",100403286528837.95
"1885-05-20",100413103224978.6
"1885-05-21",100422919595553.72
"1885-05-22",100432735640280.19
"1885-05-25",100442548787632.22
"1885-05-26",100452361608066.77
"1885-05-27",100462174101300.64
"1885-05-28",100471986267050.66
"1885-05-29",100481798105033.66
"1885-06-01",100491607042467.7
"1885-06-02",100501415608186.81
"1885-06-03",100511223801895.23
"1885-06-04",100521031623297.16
"1885-06-05",100530839072096.78
"1885-06-08",100540643488452.31
"1885-06-09",100550447531095.12
"1885-06-10",100560251199729.4
"1885-06-11",100570054494059.31
"1885-06-12",100579857413789.05
"1885-06-15",100589657297779.9
"1885-06-16",100599456806060.27
"1885-06-17",100609255938334.31
"1885-06-18",100619054694306.19
"1885-06-19",100628853073680
"1885-06-22",100638648414020.86
"1885-06-23",100648443376653.55
"1885-06-24",100658237961282.1
"1885-06-25",100668032167610.72
"1885-06-26",100677825995343.42
"1885-06-29",100687616780749.73
"1885-06-30",100697407186450.2
"1885-07-01",100707197212148.9
"1885-07-02",100716985611386.36
"1885-07-03",100726772383503.31
"1885-07-06",100736552370299.64
"1885-07-07",100746330727655.3
"1885-07-08",100756107454911.4
"1885-07-09",100765882551409.1
"1885-07-10",100775656016489.64
"1885-07-13",100785422689450.48
"1885-07-14",100795187728676.5
"1885-07-15",100804951133509.36
"1885-07-16",100814712903290.8
"1885-07-17",100824473037362.58
"1885-07-20",100834226372523.14
"1885-07-21",100843978069658.9
"1885-07-22",100853728128112.05
"1885-07-23",100863476547224.9
"1885-07-24",100873223326339.8
"1885-07-27",100882963299759.55
"1885-07-28",100892701630868.66
"1885-07-29",100902438319009.92
"1885-07-30",100912173363526.19
"1885-07-31",100921906763760.4
"1885-08-03",100931635935289.3
"1885-08-04",100941364752731.6
"1885-08-05",100951093215804.1
"1885-08-06",100960821324223.58
"1885-08-07",100970549077706.78
"1885-08-10",100980273890958.95
"1885-08-11",100989998348210.4
"1885-08-12",100999722449177.81
"1885-08-13",101009446193577.98
"1885-08-14",101019169581127.6
"1885-08-17",101028890025287.12
"1885-08-18",101038610111531.77
"1885-08-19",101048329839578.2
"1885-08-20",101058049209143.16
"1885-08-21",101067768219943.31
"1885-08-24",101077484284194.88
"1885-08-25",101087199988617.44
"1885-08-26",101096915332927.66
"1885-08-27",101106630316842.19
"1885-08-28",101116344940077.69
"1885-08-31",101126056613606.69
"1885-09-01",101135767925392.6
"1885-09-02",101145478831998
"1885-09-03",101155189333127.14
"1885-09-04",101164899428484.16
"1885-09-07",101174606441453.12
"1885-09-08",101184313047544.66
"1885-09-09",101194019246462.92
"1885-09-10",101203725037912.06
"1885-09-11",101213430421596.23
"1885-09-14",101223132719615.64
"1885-09-15",101232834608764.92
"1885-09-16",101242536088748.27
"1885-09-17",101252237159269.78
"1885-09-18",101261937820033.6
"1885-09-21",101271635391856.56
"1885-09-22",101281332552816.9
"1885-09-23",101291029302618.72
"1885-09-24",101300725640966.1
"1885-09-25",101310421567563.19
"1885-09-28",101320114401944.1
"1885-09-29",101329806823469.94
"1885-09-30",101339498831844.81
"1885-10-01",101349190426772.78
"1885-10-02",101358881651202.98
"1885-10-05",101368569909898.45
"1885-10-06",101378257797032.95
"1885-10-07",101387945312322.95
"1885-10-08",101397632455484.9
"1885-10-09",101407319226235.22
"1885-10-12",101417003028096.81
"1885-10-13",101426686456483.73
"1885-10-14",101436369511112.42
"1885-10-15",101446052191699.28
"1885-10-16",101455734497960.69
"1885-10-19",101465413832180
"1885-10-20",101475092791011
"1885-10-21",101484771374170.06
"1885-10-22",101494449581373.56
"1885-10-23",101504127412337.86
"1885-10-26",101513802268107.36
"1885-10-27",101523476746574.92
"1885-10-28",101533150847456.92
"1885-10-29",101542824570469.69
"1885-10-30",101552497915329.58
"1885-11-02",101562166895223.7
"1885-11-04",101571831422057.62
"1885-11-05",101581494181470.19
"1885-11-06",101591155172781.9
"1885-11-09",101600809020120.02
"1885-11-10",101610461096976.92
"1885-11-11",101620111402673.7
"1885-11-12",101629759936531.5
"1885-11-13",101639406697871.5
"1885-11-16",101649046308268.62
"1885-11-17",101658684143770.44
"1885-11-18",101668320203698.69
"1885-11-19",101677954487375.12
"1885-11-20",101687586994121.66
"1885-11-23",101697212342964.64
"1885-11-24",101706835912503.02
"1885-11-25",101716457702059.19
"1885-11-27",101726075020044.05
"1885-11-30",101735685173850.81
"1885-12-01",101745293544117.23
"1885-12-02",101754901519417.72
"1885-12-03",101764509099469
"1885-12-04",101774116283987.8
"1885-12-07",101783720467106.66
"1885-12-08",101793324253634.6
"1885-12-09",101802927643288.31
"1885-12-10",101812530635784.55
"1885-12-11",101822133230839.9
"1885-12-14",101831732821357.62
"1885-12-15",101841332013376.28
"1885-12-16",101850930806612.52
"1885-12-17",101860529200783
"1885-12-18",101870127195604.38
"1885-12-21",101879722182751.14
"1885-12-22",101889316769490.77
"1885-12-23",101898910955539.86
"1885-12-24",101908504740615.1
"1885-12-28",101918094210896.05
"1885-12-29",101927683278899.77
"1885-12-30",101937271944342.88
"1885-12-31",101946860206942.05
"1886-01-04",101956451981423.88
"1886-01-05",101966045963483.72
"1886-01-06",101975642153574.9
"1886-01-07",101985240552150.9
"1886-01-08",101994841159665.23
"1886-01-11",102004446587806.7
"1886-01-12",102014054226285.88
"1886-01-13",102023664075556.9
"1886-01-14",102033276136073.98
"1886-01-15",102042890408291.56
"1886-01-18",102052509505129.34
